khmer,english,category,frequency,safe_remove,level,domains,token_type,notes
៥៥៨០,khmer numeral 5580,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨១,khmer numeral 5581,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨២,khmer numeral 5582,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៣,khmer numeral 5583,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៤,khmer numeral 5584,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៥,khmer numeral 5585,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៦,khmer numeral 5586,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៧,khmer numeral 5587,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៨,khmer numeral 5588,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៨៩,khmer numeral 5589,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩០,khmer numeral 5590,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩១,khmer numeral 5591,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩២,khmer numeral 5592,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៣,khmer numeral 5593,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៤,khmer numeral 5594,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៥,khmer numeral 5595,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៦,khmer numeral 5596,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៧,khmer numeral 5597,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៨,khmer numeral 5598,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៥៩៩,khmer numeral 5599,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០០,khmer numeral 5600,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០១,khmer numeral 5601,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០២,khmer numeral 5602,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៣,khmer numeral 5603,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៤,khmer numeral 5604,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៥,khmer numeral 5605,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៦,khmer numeral 5606,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៧,khmer numeral 5607,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៨,khmer numeral 5608,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦០៩,khmer numeral 5609,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១០,khmer numeral 5610,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១១,khmer numeral 5611,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១២,khmer numeral 5612,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៣,khmer numeral 5613,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៤,khmer numeral 5614,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៥,khmer numeral 5615,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៦,khmer numeral 5616,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៧,khmer numeral 5617,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៨,khmer numeral 5618,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦១៩,khmer numeral 5619,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២០,khmer numeral 5620,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២១,khmer numeral 5621,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២២,khmer numeral 5622,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៣,khmer numeral 5623,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៤,khmer numeral 5624,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៥,khmer numeral 5625,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៦,khmer numeral 5626,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៧,khmer numeral 5627,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៨,khmer numeral 5628,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦២៩,khmer numeral 5629,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣០,khmer numeral 5630,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣១,khmer numeral 5631,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣២,khmer numeral 5632,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៣,khmer numeral 5633,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៤,khmer numeral 5634,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៥,khmer numeral 5635,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៦,khmer numeral 5636,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៧,khmer numeral 5637,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៨,khmer numeral 5638,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៣៩,khmer numeral 5639,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤០,khmer numeral 5640,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤១,khmer numeral 5641,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤២,khmer numeral 5642,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៣,khmer numeral 5643,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៤,khmer numeral 5644,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៥,khmer numeral 5645,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៦,khmer numeral 5646,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៧,khmer numeral 5647,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៨,khmer numeral 5648,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៤៩,khmer numeral 5649,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥០,khmer numeral 5650,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥១,khmer numeral 5651,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥២,khmer numeral 5652,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៣,khmer numeral 5653,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៤,khmer numeral 5654,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៥,khmer numeral 5655,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៦,khmer numeral 5656,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៧,khmer numeral 5657,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៨,khmer numeral 5658,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៥៩,khmer numeral 5659,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦០,khmer numeral 5660,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦១,khmer numeral 5661,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦២,khmer numeral 5662,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៣,khmer numeral 5663,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៤,khmer numeral 5664,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៥,khmer numeral 5665,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៦,khmer numeral 5666,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៧,khmer numeral 5667,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៨,khmer numeral 5668,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៦៩,khmer numeral 5669,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧០,khmer numeral 5670,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧១,khmer numeral 5671,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧២,khmer numeral 5672,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៣,khmer numeral 5673,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៤,khmer numeral 5674,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៥,khmer numeral 5675,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៦,khmer numeral 5676,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៧,khmer numeral 5677,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៨,khmer numeral 5678,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៧៩,khmer numeral 5679,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨០,khmer numeral 5680,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨១,khmer numeral 5681,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨២,khmer numeral 5682,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៣,khmer numeral 5683,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៤,khmer numeral 5684,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៥,khmer numeral 5685,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៦,khmer numeral 5686,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៧,khmer numeral 5687,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៨,khmer numeral 5688,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៨៩,khmer numeral 5689,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩០,khmer numeral 5690,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩១,khmer numeral 5691,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩២,khmer numeral 5692,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៣,khmer numeral 5693,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៤,khmer numeral 5694,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៥,khmer numeral 5695,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៦,khmer numeral 5696,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៧,khmer numeral 5697,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៨,khmer numeral 5698,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៦៩៩,khmer numeral 5699,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០០,khmer numeral 5700,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០១,khmer numeral 5701,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០២,khmer numeral 5702,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៣,khmer numeral 5703,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៤,khmer numeral 5704,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៥,khmer numeral 5705,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៦,khmer numeral 5706,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៧,khmer numeral 5707,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៨,khmer numeral 5708,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧០៩,khmer numeral 5709,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១០,khmer numeral 5710,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១១,khmer numeral 5711,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១២,khmer numeral 5712,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៣,khmer numeral 5713,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៤,khmer numeral 5714,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៥,khmer numeral 5715,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៦,khmer numeral 5716,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៧,khmer numeral 5717,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៨,khmer numeral 5718,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧១៩,khmer numeral 5719,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២០,khmer numeral 5720,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២១,khmer numeral 5721,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២២,khmer numeral 5722,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៣,khmer numeral 5723,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៤,khmer numeral 5724,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៥,khmer numeral 5725,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៦,khmer numeral 5726,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៧,khmer numeral 5727,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៨,khmer numeral 5728,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧២៩,khmer numeral 5729,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣០,khmer numeral 5730,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣១,khmer numeral 5731,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣២,khmer numeral 5732,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៣,khmer numeral 5733,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៤,khmer numeral 5734,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៥,khmer numeral 5735,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៦,khmer numeral 5736,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៧,khmer numeral 5737,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៨,khmer numeral 5738,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៣៩,khmer numeral 5739,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤០,khmer numeral 5740,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤១,khmer numeral 5741,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤២,khmer numeral 5742,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៣,khmer numeral 5743,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៤,khmer numeral 5744,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៥,khmer numeral 5745,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៦,khmer numeral 5746,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៧,khmer numeral 5747,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៨,khmer numeral 5748,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៤៩,khmer numeral 5749,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥០,khmer numeral 5750,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥១,khmer numeral 5751,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥២,khmer numeral 5752,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៣,khmer numeral 5753,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៤,khmer numeral 5754,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៥,khmer numeral 5755,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៦,khmer numeral 5756,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៧,khmer numeral 5757,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៨,khmer numeral 5758,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៥៩,khmer numeral 5759,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦០,khmer numeral 5760,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦១,khmer numeral 5761,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦២,khmer numeral 5762,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៣,khmer numeral 5763,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៤,khmer numeral 5764,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៥,khmer numeral 5765,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៦,khmer numeral 5766,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៧,khmer numeral 5767,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៨,khmer numeral 5768,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៦៩,khmer numeral 5769,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧០,khmer numeral 5770,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧១,khmer numeral 5771,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧២,khmer numeral 5772,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៣,khmer numeral 5773,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៤,khmer numeral 5774,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៥,khmer numeral 5775,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៦,khmer numeral 5776,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៧,khmer numeral 5777,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៨,khmer numeral 5778,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៧៩,khmer numeral 5779,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨០,khmer numeral 5780,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨១,khmer numeral 5781,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨២,khmer numeral 5782,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៣,khmer numeral 5783,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៤,khmer numeral 5784,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៥,khmer numeral 5785,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៦,khmer numeral 5786,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៧,khmer numeral 5787,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៨,khmer numeral 5788,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៨៩,khmer numeral 5789,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩០,khmer numeral 5790,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩១,khmer numeral 5791,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩២,khmer numeral 5792,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៣,khmer numeral 5793,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៤,khmer numeral 5794,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៥,khmer numeral 5795,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៦,khmer numeral 5796,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៧,khmer numeral 5797,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៨,khmer numeral 5798,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៧៩៩,khmer numeral 5799,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០០,khmer numeral 5800,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០១,khmer numeral 5801,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០២,khmer numeral 5802,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៣,khmer numeral 5803,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៤,khmer numeral 5804,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៥,khmer numeral 5805,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៦,khmer numeral 5806,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៧,khmer numeral 5807,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៨,khmer numeral 5808,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨០៩,khmer numeral 5809,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១០,khmer numeral 5810,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១១,khmer numeral 5811,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១២,khmer numeral 5812,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១៣,khmer numeral 5813,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១៤,khmer numeral 5814,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១៥,khmer numeral 5815,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១៦,khmer numeral 5816,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១៧,khmer numeral 5817,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
៥៨១៨,khmer numeral 5818,quantifier,Low,Caution,Aggressive,all,noise,Numeric token; preserve for finance/QA.
